"","year","genus","species","weight"
"1",1977,"Dipodomys","spectabilis",149
"2",1978,"Neotoma","albigula",232
"3",1978,"Neotoma","albigula",232
"4",1979,"Neotoma","albigula",274
"5",1980,"Neotoma","albigula",243
"6",1981,"Neotoma","albigula",264
"7",1982,"Neotoma","albigula",252
"8",1983,"Neotoma","albigula",256
"9",1984,"Neotoma","albigula",259
"10",1985,"Neotoma","albigula",225
"11",1986,"Neotoma","albigula",240
"12",1987,"Neotoma","albigula",278
"13",1988,"Neotoma","albigula",248
"14",1989,"Neotoma","albigula",275
"15",1990,"Neotoma","albigula",243
"16",1991,"Sigmodon","fulviventer",199
"17",1992,"Neotoma","albigula",220
"18",1993,"Neotoma","albigula",233
"19",1994,"Neotoma","albigula",226
"20",1995,"Neotoma","albigula",171
"21",1996,"Neotoma","albigula",185
"22",1997,"Neotoma","albigula",231
"23",1998,"Neotoma","albigula",238
"24",1999,"Neotoma","albigula",227
"25",2000,"Neotoma","albigula",265
"26",2001,"Neotoma","albigula",280
"27",2002,"Neotoma","albigula",248
